question,true_answer,model_1_answer,model_2_answer,model_1_correct,model_2_correct
When did Beyonce start becoming popular?,in the late 1990s,late 1990s,late 1990s,False,False
What areas did Beyonce compete in when she was growing up?,singing and dancing,singing and dancing,singing and dancing,True,True
When did Beyonce leave Destiny's Child and become a solo singer?,2003,2003,2003,True,True
In what city and state did Beyonce grow up?,"houston, texas",houston,texas,False,False
In which decade did Beyonce become famous?,late 1990s,1990s,1990s,False,False
In what R&B group was she the lead singer?,destiny's child,destiny's child,destiny's child,True,True
What album made her a worldwide known artist?,dangerously in love,dangerously in love,dangerously in love,True,True
Who managed the Destiny's Child group?,mathew knowles,mathew knowles,mathew knowles,True,True
When did Beyoncé rise to fame?,late 1990s,late 1990s,late 1990s,True,True
What role did Beyoncé have in Destiny's Child?,lead singer,lead singer,lead singer,True,True
What was the first album Beyoncé released as a solo artist?,dangerously in love,dangerously in love,dangerously in love,True,True
When did Beyoncé release Dangerously in Love?,2003,2003,2003,True,True
How many Grammy awards did Beyoncé win for her first solo album?,five,five,five,True,True
What was Beyoncé's role in Destiny's Child?,lead singer,lead singer,lead singer,True,True
What was the name of Beyoncé's first solo album?,dangerously in love,dangerously in love,dangerously in love,True,True
"After her second solo album, what other entertainment venture did Beyonce explore?",acting,acting,acting,True,True
Which artist did Beyonce marry?,jay z,jay z,jay z,True,True
"To set the record for Grammys, how many did Beyonce win?",six,six,six,True,True
For what movie did Beyonce receive her first Golden Globe nomination?,dreamgirls,dreamgirls,dreamgirls,True,True
When did Beyonce take a hiatus in her career and take control of her management?,2010,2010,2010,True,True
Which album was darker in tone from her previous work?,beyoncé,beyoncé,beyoncé,True,True
"After what movie portraying Etta James, did Beyonce create Sasha Fierce?",cadillac records,cadillac records,cadillac records,True,True
When did Destiny's Child end their group act?,june 2005,june 2005,june 2005,True,True
What was the name of Beyoncé's second solo album?,b'day,b'day,b'day,True,True
"What was Beyoncé's first acting job, in 2006?",dreamgirls,dreamgirls,dreamgirls,True,True
Who is Beyoncé married to?,jay z,jay z,jay z,True,True
What is the name of Beyoncé's alter-ego?,sasha fierce,sasha fierce,sasha fierce,True,True
"In her music, what are some recurring elements in them?","love, relationships, and monogamy","love, relationships, and monogamy","love, relationships, and monogamy",True,True
Time magazine named her one of the most 100 what people of the century?,influential,influential,influential,True,True
Which magazine declared her the most dominant woman musician?,forbes,forbes,forbes,True,True
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?,2000s,2000s,2000s,True,True
What magazine rated Beyonce as the most powerful female musician in 2015?,forbes,forbes,forbes,True,True
How did Beyonce describe herself as a feminist?,modern-day feminist,modern-day feminist,modern-day feminist,True,True
In which years did Time rate Beyonce in the 100 most influential people in the world?,2013 and 2014,2013 and 2014,2013 and 2014,True,True
How many records has Beyonce sold in her 19 year career?,118 million,118 million,118 million,True,True
How many records did Beyoncé sell as part of Destiny's Child?,60 million,60 million,60 million,True,True
"After leaving Destiny's Child, how many records did Beyoncé release under her own name?",118 million,60 million,118 million,False,True
How many Grammy awards has Beyoncé won?,20,20,20,True,True
What magazine named Beyoncé as the most powerful female musician for 2015?,forbes,forbes,forbes,True,True
Beyonce's younger sibling also sang with her in what band?,destiny's child,destiny's child,destiny's child,True,True
Where did Beyonce get her name from?,her mother's maiden name,her mother's maiden name,her mother's maiden name,True,True
What race was Beyonce's father?,african-american,african-american,african-american,True,True
Beyonce's childhood home believed in what religion?,methodist,methodist,methodist,True,True
Beyonce's father worked as a sales manager for what company?,xerox,xerox,xerox,True,True
Beyonce's mother worked in what industry?,hairdresser and salon owner,hairdresser,hairdresser and salon owner,False,True
What younger sister of Beyonce also appeared in Destiny's Child?,solange,solange,solange,True,True
Beyonce is a descendent of what Arcadian leader?,joseph broussard,joseph broussard,joseph broussard,True,True
